"ID","name","age","Sex","Civil Status","Having Degree","JOB ROLE","Department","Work From","Work To","Tenure(Years)","Salary(Rs)","Bonus","Claims","Worked Prject","NoOfLeaves","Distance(km)","NonSchoolGoingDep","NoOfChildren","NoOfComplaints","Reason to Leave","Churn"
"E001","Z.V.Hettiarachchi","28","Female","Single","Yes","Assistant Accountant","Financial","2006-04-30","2007-12-28","1","67500.0","3265","5103","Risk Management System","10","65.972","1","0","4","Travelling Problem","1"
"E002","N.R.B.George","22","Female","Single","No","Developer Intern","Software","1987-01-15","2009-02-13","22","27600.0","418","3671","Incident Management System","13","26.684","2","0","0","","0"
"E003","I.H.Y.Soris","27","Female","Single","No","","","1987-01-23","1989-01-15","2","0.0","0","7460","Telemar","3","42.249","1","0","4","Travelling Problem","1"
"E004","Y.P.E.Darwin","41","Male","Married","No","Junior Designer","Software","2008-07-14","2014-02-24","6","30600.0","551","2262","Telemar","16","1.002","2","0","2","Personal Reason","1"
"E005","E.S.De Silva","26","Female","Married","No","Junior Designer","Software","2005-01-12","2006-04-07","1","30600.0","546","5801","Telemar","11","42.123","0","0","4","Travelling Problem","1"
"E006","Z.G.Jayawardena","50","Female","Single","Yes","IT Manager","IT","1982-01-31","1993-04-08","11","73500.0","2079","7054","Incident Management System","5","65.314","2","0","3","Travelling Problem","1"
"E007","K.G.X.Samarasinghe","47","Female","Single","Yes","Senior Business Analyst","Financial","1991-11-02","2014-06-30","23","72300.0","7199","8375","Incident Management System","14","4.567","0","0","5","Personal Reason","1"
"E008","Q.H.A.Hettiarachchi","29","Female","Single","No","Junior Designer","Software","2003-05-18","2012-02-27","9","30600.0","593","6359","Claim Administration System Migration","7","7.294","2","0","1","","0"
"E009","Z.K.Y.Motha","30","Female","Single","Yes","System Admin","IT","2003-06-24","2014-05-09","11","58700.0","7408","2383","CAT Migration","11","6.462","0","0","2","","0"
"E0010","R.D.A.T.Wijepala","28","Female","Married","Yes","IT App Man","IT","1995-09-13","2001-06-09","6","53000.0","2581","4572","Covance","3","79.141","1","1","1","Lack of benefits","1"
"E0011","J.W.Abdulla","45","Male","Single","No","IT","IT","1971-03-25","1973-11-11","2","20500.0","359","6774","Claim Administration System Migration","13","65.044","0","0","3","","0"
"E0012","Z.A.M.P.W.Soertsz","47","Female","Single","No","Software Engineering Intern","Software","1981-08-03","1990-07-16","9","26700.0","536","5872","Claim Administration System Migration","1","62.588","0","0","5","Travelling Problem","1"
"E0013","C.O.M.Bandaranayake","50","Female","Single","Yes","IT Project Leader","IT","1982-07-24","2011-11-10","29","78300.0","3421","7138","CAT Migration","10","50.193","2","0","5","Travelling Problem","1"
"E0014","U.H.Arafat","27","Female","Married","No","IT","IT","1990-03-18","1997-07-05","7","20500.0","332","9651","Btaf","3","14.624","1","3","1","Lack of benefits","1"
"E0015","Z.U.Pathirana","49","Female","Single","No","Software Tester","Software","1987-06-19","1998-01-12","11","20500.0","436","6235","Hazard Management System","6","8.957","1","0","0","","0"
"E0016","Q.Q.G.N.Rodrigo","46","Female","Single","Yes","Accountant","Financial","1978-05-24","2005-07-08","27","90700.0","13725","1359","Telemar","11","40.845","1","0","3","Travelling Problem","1"
"E0017","M.G.Q.Y.Sirisena","34","Female","Single","No","","","2006-08-01","2010-07-10","4","0.0","0","3335","Btaf","16","68.987","1","0","4","Travelling Problem","1"
"E0018","Y.Warnapura","48","Female","Married","No","Sales Executive","Financial","1971-07-13","2008-05-02","37","31500.0","610","3847","New York Life","9","97.141","0","5","1","Lack of benefits","1"
"E0019","K.P.L.Rajakaruna","28","Female","Single","No","Software Tester","Software","1971-09-04","2001-05-20","30","20500.0","264","5265","Trico","14","9.332","0","0","6","Personal Reason","1"
"E0020","W.G.D.Kapugedara","37","Female","Single","No","Junior Designer","Software","2010-07-11","2014-08-30","4","30600.0","422","7504","Claim Administration System Migration","8","21.34","2","0","5","Travelling Problem","1"
