"ID","name","age","Sex","Civil Status","Having Degree","JOB ROLE","Department","Work From","Work To","Tenure(Years)","Salary(Rs)","Bonus","Claims","Worked Prject","NoOfLeaves","Distance(km)","NoOfParents","NoOfChildren","NoOfComplaints"
"E001","W.B.Karunasena","40","Male","Single","No","Junior Designer","Software","1976-07-03","2006-04-19","30","30600.0","709","3575","Incident Management System","10","21.382","2","0","5"
"E002","Q.Q.Abdulla","31","Male","Married","No","Junior Business Analyst","Financial","2009-09-11","2011-01-18","2","22500.0","237","2810","Covance","17","23.947","4","1","1"
"E003","F.C.Q.Hettiarachchi","37","Female","Single","No","IT Officer - Intern","IT","1984-02-13","1996-07-09","12","25400.0","360","7559","Btaf","15","77.777","2","0","2"
"E004","P.H.C.Senarathna","46","Female","Married","Yes","Tech Lead","Software","1971-07-29","1987-05-27","16","75000.0","5152","6991","Trico","9","8.918","3","3","2"
"E005","U.Z.Rajakaruna","33","Female","Single","No","IT Officer - Intern","IT","1980-06-05","2001-08-25","21","25400.0","357","9862","New York Life","18","53.517","1","0","8"
"E006","S.Musammil","27","Male","Single","No","IT Officer - Intern","IT","1997-01-13","2013-02-21","16","25400.0","376","6339","Trico","4","4.326","1","0","2"
"E007","T.P.Rajakaruna","46","Female","Single","Yes","Finance Manager","Financial","1994-07-05","2007-06-11","13","120700.0","16483","3059","New York Life","18","73.909","0","0","8"
"E008","A.M.C.George","24","Female","Single","Yes","","","2005-07-24","2014-12-20","9","0.0","0","3224","Btaf","12","55.244","0","0","6"
"E009","T.Senarathna","49","Female","Married","No","IT","IT","1977-01-11","1997-11-04","20","20500.0","467","7333","Hazard Management System","12","27.102","0","5","8"
"E0010","Y.A.C.V.Bandaranayake","48","Female","Single","No","Junior Business Analyst","Financial","1973-01-23","1990-04-26","17","22500.0","207","8207","New York Life","7","39.652","2","0","2"
"E0011","U.O.L.Kodithuwakku","22","Female","Single","No","Junior Business Analyst","Financial","1975-11-19","1976-01-22","1","22500.0","220","2142","Trico","17","52.015","1","0","3"
"E0012","F.P.Arafat","50","Female","Single","Yes","QA Mananger","QA","2002-01-07","2004-09-18","2","82600.0","10559","7222","Budget Management Centre","4","60.939","0","0","8"
"E0013","K.H.Anand","35","Female","Married","No","IT Officer - Intern","IT","1997-09-04","2011-03-26","14","25400.0","384","4578","New York Life","14","34.059","3","4","1"
"E0014","D.M.M.M.K.Samarasinghe","20","Female","Single","No","IT Officer - Intern","IT","1995-07-08","1995-12-31","0","25400.0","352","5321","Incident Management System","14","77.238","1","0","0"
"E0015","F.George","36","Female","Married","No","Software Tester","Software","1982-10-17","1986-05-02","4","20500.0","386","2236","Btaf","11","47.91","1","4","6"
"E0016","J.D.X.U.Samararathna","41","Female","Single","No","Software Engineering Intern","Software","1982-06-13","1991-01-01","9","26700.0","392","8255","Covance","11","92.359","1","0","2"
"E0017","K.I.H.Viswanathan","46","Female","Married","No","IT","IT","1970-12-18","2005-10-07","35","20500.0","441","3020","Hazard Management System","4","79.103","2","3","8"
"E0018","C.J.Arafat","41","Female","Married","Yes","Senior Designer","Software","1983-05-04","2014-08-29","31","67600.0","3402","1324","Btaf","1","90.201","4","1","2"
